UPC#12,UPC#11,KEHE#,CUST ITEM#,BRAND,ITEM DESC,SIZE,UOM,PACK,CASE PRICE,RETAIL PRICE,CAT1,CAT2,CAT3,CLASS DESC,DIV DESC,DEPARTMENT,ITEM STATUS,CASE LENGTH,CASE WIDTH,CASE HEIGHT,CASE WEIGHT
041234111766,04123411176,5539,,GOLDEN DIPT,GOLDEN DIPT SAUCE TARTER,8.000,OZ,6,14.280,3.49,Specialty Groce,CONDIMENTS DRES,SAUCES & MARINADES,CONDIMENTS DRESSINGS,SPECIALTY GROCERY,100,MANUFACTURER_TEMP_OUT,0000006,5.75,6.180,3.670
041234113760,04123411376,5540,,GOLDEN DIPT,GOLDEN DIPT SAUCE COCKTAIL,8.000,OZ,12,32.640,3.89,Specialty Groce,CONDIMENTS DRES,SAUCES & MARINADES,CONDIMENTS DRESSINGS,SPECIALTY GROCERY,100,ACTIVE,0000010,7.81,8.250,12.140
041234114767,04123411476,5548,,GOLDEN DIPT,GOLDEN DIPT SAUCE COCKTAIL EXTRA HOT,8.000,OZ,12,32.640,3.89,Specialty Groce,CONDIMENTS DRES,SAUCES & MARINADES,CONDIMENTS DRESSINGS,SPECIALTY GROCERY,100,ACTIVE,0000010,7.81,8.250,12.140
041234416113,04123441611,5554,,GOLDEN DIPT,GOLDEN DIPT CRACKER MEAL,10.00,OZ,8,21.840,3.99,Specialty Groce,SPICES SEASONIN,FISH FRY COATINGS,SPICES SEASONING GRAVY COATING,SPECIALTY GROCERY,100,ACTIVE,0000009,6.88,6.300,5.800
041234719115,04123471911,5561,,GOLDEN DIPT,GOLDEN DIPT MIX FRY FISH,10.00,OZ,8,21.840,3.99,Specialty Groce,SPICES SEASONIN,FISH FRY COATINGS,SPICES SEASONING GRAVY COATING,SPECIALTY GROCERY,100,ACTIVE,0000009,6.88,6.600,5.820
071053000019,07105300001,5574,,COLGIN,COLGIN LIQ SMOKE HCKRY,4.000,OZ,12,21.840,2.69,Specialty Groce,CONDIMENTS DRES,SAUCES & MARINADES,CONDIMENTS DRESSINGS,SPECIALTY GROCERY,100,ACTIVE,0000008,6.00,7.000,5.000
070670001294,07067000129,5578,,TY LING,TY LING SAUCE SWEET & SOUR,10.00,OZ,6,14.580,3.49,Specialty Groce,CONDIMENTS DRES,MAINSTREAM,CONDIMENTS DRESSINGS,SPECIALTY GROCERY,100,MANUFACTURER_TEMP_OUT,0000009,7.50,5.500,5.750
076186000011,07618600001,5581,,SAPPORO,SAPPORO NOODLE ICHIBAN ORIGINAL,3.500,OZ,24,19.440,1.19,Specialty Groce,SS PASTA,AUTHENTIC,SS PASTA,SPECIALTY GROCERY,100,ACTIVE,0000015,5.75,5.000,6.000
076186000035,07618600003,5583,,SAPPORO,SAPPORO NOODLE ICHIBAN BEEF FLAVOR,3.500,OZ,24,19.440,1.19,Specialty Groce,SS PASTA,AUTHENTIC,SS PASTA,SPECIALTY GROCERY,100,ACTIVE,0000014,11.25,4.750,6.000
011152024011,01115202401,5584,,DYNASTY,DYNASTY MUSHROOM SHITAKE WHOLE,1.000,OZ,12,24.960,2.99,Specialty Groce,SS FRUIT & VEG,MAINSTREAM,SS FRUIT & VEG,SPECIALTY GROCERY,100,ACTIVE,0000016,13.00,9.000,6.720
076186000028,07618600002,5586,,SAPPORO,SAPPORO NOODLE ICHIBAN CHCKN,3.500,OZ,24,19.440,1.19,Specialty Groce,SS PASTA,AUTHENTIC,SS PASTA,SPECIALTY GROCERY,100,ACTIVE,0000015,11.00,4.750,6.000
